Account Number,Suite,House.java Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
9980587,,14023,MANNING DRIVE NW,N,2145,CLAREVIEW TOWN CENTRE,Dene Ward,21000,53.60334590631240,-113.41232160000000,POINT (-113.41232161478011 53.60334590631248),100,,,COMMERCIAL,,
9995502,,,,N,6240,FULTON PLACE,Métis Ward,9500,53.54452023240180,-113.43266560000000,POINT (-113.43266563401859 53.54452023240184),100,,,RESIDENTIAL,,
10001452,,1311,THOMPSON COURT NW,Y,5640,TERWILLEGAR TOWNE,pihêsiwin Ward,624500,53.44618291321700,-113.57036140000000,POINT (-113.570361405407 53.44618291321707),100,,,RESIDENTIAL,,
10009724,,1544,BLACKMORE WAY SW,Y,5453,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,816500,53.41785379325230,-113.50439950000000,POINT (-113.50439951854739 53.417853793252384),100,,,RESIDENTIAL,,
10001095,,3562,MCLEAN CRESCENT SW,Y,5452,MACEWAN,Ipiihkoohkanipiaohtsi Ward,468000,53.42589065814170,-113.52588650000000,POINT (-113.52588648183337 53.42589065814177),100,,,RESIDENTIAL,,
9988970,,,,N,3440,WESTMOUNT,O-day'min Ward,8500,53.55520541672080,-113.53540330000000,POINT (-113.53540331342293 53.55520541672087),100,,,RESIDENTIAL,,
9989421,,7516,162 AVENUE NW,Y,2511,MAYLIEWAN,tastawiyiniwak Ward,477000,53.62455174518950,-113.45812730000000,POINT (-113.4581272695597 53.624551745189535),100,,,RESIDENTIAL,,
9991296,,706,88A STREET SW,N,6211,ELLERSLIE,Karhiio Ward,382000,53.42631064466550,-113.46966870000000,POINT (-113.46966866661434 53.426310644665506),100,,,RESIDENTIAL,,
9989254,,1307,BARNES CLOSE SW,Y,5453,BLACKMUD CREEK,Ipiihkoohkanipiaohtsi Ward,558500,53.42281530000000,-113.51224280000000,POINT (-113.51224281338935 53.422815304136),100,,,RESIDENTIAL,,
10004737,31,4350,23 STREET NW,Y,6390,LARKSPUR,Sspomitapi Ward,288500,53.48180216716140,-113.37884130000000,POINT (-113.37884132349839 53.481802167161405),100,,,RESIDENTIAL,,
10005904,,1827,35 AVENUE NW,Y,6790,WILD ROSE,Sspomitapi Ward,422500,53.46924071024240,-113.37149040000000,POINT (-113.37149043653528 53.46924071024249),100,,,RESIDENTIAL,,
10000137,,12919,162 AVENUE NW,Y,3320,OXFORD,Anirniq Ward,447500,53.62361297250060,-113.54639500000000,POINT (-113.54639499601586 53.623612972500645),100,,,RESIDENTIAL,,
1066869,,2103,ELLERSLIE ROAD SW,N,6663,DECOTEAU,Sspomitapi Ward,270000,53.42207938362910,-113.37675420000000,POINT (-113.37675416529636 53.42207938362915),97,3,,RESIDENTIAL,FARMLAND,
1066414,,2904,MERIDIAN STREET SW,Y,6663,DECOTEAU,Sspomitapi Ward,795500,53.40493042930040,-113.35068430000000,POINT (-113.3506843133103 53.40493042930048),97,3,,RESIDENTIAL,FARMLAND,
9999292,,2875,66 STREET SW,N,6667,MATTSON,Karhiio Ward,5671500,53.40616227143990,-113.43641250000000,POINT (-113.43641250542707 53.406162271439904),97,3,,RESIDENTIAL,COMMERCIAL,
4020707,,2403,51 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,5559500,53.48542166269640,-113.37804880000000,POINT (-113.37804884821563 53.48542166269644),97,3,,COMMERCIAL,COMMERCIAL,
9540402,,4605,76 AVENUE NW,N,6780,WEIR INDUSTRIAL,Métis Ward,1360000,53.51128282263540,-113.41222990000000,POINT (-113.41222987821578 53.51128282263542),97,3,,OTHER RESIDENTIAL,COMMERCIAL,
10884975,,5415,80 STREET SW,Y,8885,EDMONTON SOUTH CENTRAL EAST,Karhiio Ward,751500,53.38396376760130,-113.45183440000000,POINT (-113.45183439390584 53.38396376760137),95,3,1,RESIDENTIAL,RESIDENTIAL,RESIDENTIAL
10885155,,4325,34 STREET SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,613000,53.39215985330770,-113.39031860000000,POINT (-113.39031863530188 53.39215985330776),95,3,2,RESIDENTIAL,RESIDENTIAL,FARMLAND
10885158,,6425,34 STREET SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,548500,53.37587356002650,-113.37512500000000,POINT (-113.37512496283806 53.375873560026506),91,3,3,RESIDENTIAL,FARMLAND,RESIDENTIAL
10884942,,4135,41 AVENUE SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,943000,53.39308302574060,-113.39972910000000,POINT (-113.39972907794802 53.39308302574062),91,3,3,RESIDENTIAL,RESIDENTIAL,RESIDENTIAL
10885140,,225,41 AVENUE SW,Y,8886,EDMONTON SOUTH EAST,Sspomitapi Ward,1092000,53.39389979725790,-113.34769340000000,POINT (-113.34769337140939 53.39389979725797),95,3,1,RESIDENTIAL,RESIDENTIAL,FARMLAND
10508233,,16340,MARK MESSIER TRAIL NW,N,,ANTHONY HENDAY MISTATIM,,52000,53.61647844436390,-113.60572050000000,POINT (-113.60572053205054 53.61647844436395),100,,,RESIDENTIAL,,
1066018,,16340,MARK MESSIER TRAIL NW,N,,ANTHONY HENDAY MISTATIM,,87500,53.61647844436390,-113.60572050000000,POINT (-113.60572053205054 53.61647844436395),100,,,RESIDENTIAL,,
1066158,,14904,167 AVENUE NW,N,,ANTHONY HENDAY RAMPART,,99500,53.63049483244690,-113.58048590000000,POINT (-113.58048586098425 53.630494832446956),100,,,RESIDENTIAL,,
1108323,,14404,170 STREET NW,N,,ANTHONY HENDAY MISTATIM,,637500,53.60980245124370,-113.61962290000000,POINT (-113.61962285868125 53.60980245124371),100,,,RESIDENTIAL,,
10925884,,8310,212 STREET SW,N,,EDMONTON SOUTH WEST,,8000,53.35952655627030,-113.68987770000000,POINT (-113.68987767594408 53.359526556270396),100,,,FARMLAND,,
10929199,,18835,66 STREET NW,N,,EDMONTON ENERGY AND TECHNOLOGY PARK,,500,53.65389424000000,-113.43380710000000,POINT (-113.43380711129294 53.653894241101),100,,,COMMERCIAL,,
